feature,importance
peer_gap_ratio,0.1640179239271244
peer_group_ratio,0.1606310959914621
decline_variance,0.07705343181481376
flatline_score,0.07586898395597538
monthly_cv,0.06361869020216206
daily_total,0.048159131449194134
daily_mean,0.03974847021506992
baseline_ratio,0.03920569753715024
monthly_slope,0.030089740966828305
near_zero_months,0.02759922065713166
max_to_mean_ratio,0.02644098318198456
load_factor,0.02642519733861956
night_ratio,0.02569415705432791
daily_min,0.025086995855386176
daily_cv,0.024507291824117212
evening_ratio,0.022212978747993686
day_ratio,0.02214732991803447
daily_max,0.021412531535181967
recent_drop_ratio,0.02046059609225794
daily_std,0.01718588845816949
daily_entropy,0.01592749185533561
consecutive_zero_delta_count,0.01566795642604434
daily_slope,0.008918506565150613
peak_is_night,0.0015500194363231752
peak_hour,0.0003696889941608984
max_zero_run,1.8446940898060798e-16
zero_fraction,1.5772057669009043e-16
